run,part_id,required,submitted,matched,missing,unmatched_submitted
astra-medium,p001,8,8,2,0,6
astra-medium,p002,30,30,0,0,30
astra-medium,p003,16,0,0,16,0
astra-medium,p004,1,1,1,0,0
astra-medium,p005,4,0,0,4,0
astra-medium,p006,4,4,1,0,3
astra-medium,p007,8,0,0,8,0
astra-medium,p008,16,16,0,0,16
astra-medium,p009,4,4,1,0,3
astra-medium,p010,1,1,1,0,0
astra-medium,p011,8,0,0,8,0
astra-medium,p012,4,4,0,0,4
astra-medium,p013,8,0,0,8,0
astra-medium,p014,4,4,0,0,4
astra-medium,p015,4,0,0,4,0
astra-medium,p016,8,0,0,8,0
astra-medium,p017,16,0,0,16,0
astra-medium,p018,8,0,0,8,0
astra-medium,p019,4,4,0,0,4
astra-medium,p020,8,0,0,8,0
astra-medium,p021,8,0,0,8,0
astra-medium,p022,1,1,1,0,0
astra-medium,p023,4,4,0,0,4
astra-medium,p024,16,0,0,16,0
astra-medium,p025,4,4,1,0,3
astra-medium,p026,4,4,1,0,3
astra-medium,p027,8,8,2,0,6
astra-medium,p028,16,0,0,16,0
astra-medium,p029,1,1,1,0,0
astra-xhigh,p001,8,8,6,0,2
astra-xhigh,p002,30,30,4,0,26
astra-xhigh,p003,16,16,0,0,16
astra-xhigh,p004,1,1,1,0,0
astra-xhigh,p005,4,4,0,0,4
astra-xhigh,p006,4,4,3,0,1
astra-xhigh,p007,8,8,0,0,8
astra-xhigh,p008,16,16,0,0,16
astra-xhigh,p009,4,4,3,0,1
astra-xhigh,p010,1,1,1,0,0
astra-xhigh,p011,8,8,0,0,8
astra-xhigh,p012,4,4,0,0,4
astra-xhigh,p013,8,8,0,0,8
astra-xhigh,p014,4,4,0,0,4
astra-xhigh,p015,4,4,0,0,4
astra-xhigh,p016,8,8,0,0,8
astra-xhigh,p017,16,16,0,0,16
astra-xhigh,p018,8,8,0,0,8
astra-xhigh,p019,4,4,0,0,4
astra-xhigh,p020,8,8,0,0,8
astra-xhigh,p021,8,8,0,0,8
astra-xhigh,p022,1,1,1,0,0
astra-xhigh,p023,4,4,0,0,4
astra-xhigh,p024,16,16,0,0,16
astra-xhigh,p025,4,4,0,0,4
astra-xhigh,p026,4,4,0,0,4
astra-xhigh,p027,8,8,0,0,8
astra-xhigh,p028,16,16,0,0,16
astra-xhigh,p029,1,1,1,0,0
grok-01,p001,8,0,0,8,0
grok-01,p002,30,0,0,30,0
grok-01,p003,16,0,0,16,0
grok-01,p004,1,0,0,1,0
grok-01,p005,4,0,0,4,0
grok-01,p006,4,0,0,4,0
grok-01,p007,8,0,0,8,0
grok-01,p008,16,0,0,16,0
grok-01,p009,4,0,0,4,0
grok-01,p010,1,1,1,0,0
grok-01,p011,8,0,0,8,0
grok-01,p012,4,0,0,4,0
grok-01,p013,8,0,0,8,0
grok-01,p014,4,0,0,4,0
grok-01,p015,4,0,0,4,0
grok-01,p016,8,0,0,8,0
grok-01,p017,16,0,0,16,0
grok-01,p018,8,0,0,8,0
grok-01,p019,4,0,0,4,0
grok-01,p020,8,0,0,8,0
grok-01,p021,8,0,0,8,0
grok-01,p022,1,0,0,1,0
grok-01,p023,4,0,0,4,0
grok-01,p024,16,0,0,16,0
grok-01,p025,4,0,0,4,0
grok-01,p026,4,0,0,4,0
grok-01,p027,8,0,0,8,0
grok-01,p028,16,0,0,16,0
grok-01,p029,1,0,0,1,0
grok-02,p001,8,8,0,0,8
grok-02,p002,30,30,0,0,30
grok-02,p003,16,16,0,0,16
grok-02,p004,1,1,0,0,1
grok-02,p005,4,4,0,0,4
grok-02,p006,4,4,0,0,4
grok-02,p007,8,8,0,0,8
grok-02,p008,16,16,0,0,16
grok-02,p009,4,4,0,0,4
grok-02,p010,1,1,1,0,0
grok-02,p011,8,8,0,0,8
grok-02,p012,4,4,0,0,4
grok-02,p013,8,8,0,0,8
grok-02,p014,4,4,0,0,4
grok-02,p015,4,4,0,0,4
grok-02,p016,8,8,0,0,8
grok-02,p017,16,16,0,0,16
grok-02,p018,8,8,0,0,8
grok-02,p019,4,4,0,0,4
grok-02,p020,8,8,0,0,8
grok-02,p021,8,8,0,0,8
grok-02,p022,1,1,0,0,1
grok-02,p023,4,4,0,0,4
grok-02,p024,16,16,0,0,16
grok-02,p025,4,4,0,0,4
grok-02,p026,4,4,0,0,4
grok-02,p027,8,8,0,0,8
grok-02,p028,16,16,0,0,16
grok-02,p029,1,1,0,0,1
grok-03,p001,8,4,0,4,4
grok-03,p002,30,11,0,19,11
grok-03,p003,16,0,0,16,0
grok-03,p004,1,1,0,0,1
grok-03,p005,4,0,0,4,0
grok-03,p006,4,3,0,1,3
grok-03,p007,8,8,0,0,8
grok-03,p008,16,16,0,0,16
grok-03,p009,4,0,0,4,0
grok-03,p010,1,1,1,0,0
grok-03,p011,8,8,0,0,8
grok-03,p012,4,0,0,4,0
grok-03,p013,8,8,0,0,8
grok-03,p014,4,0,0,4,0
grok-03,p015,4,0,0,4,0
grok-03,p016,8,4,0,4,4
grok-03,p017,16,15,0,1,15
grok-03,p018,8,7,0,1,7
grok-03,p019,4,4,0,0,4
grok-03,p020,8,0,0,8,0
grok-03,p021,8,8,0,0,8
grok-03,p022,1,0,0,1,0
grok-03,p023,4,3,0,1,3
grok-03,p024,16,15,0,1,15
grok-03,p025,4,1,0,3,1
grok-03,p026,4,3,0,1,3
grok-03,p027,8,2,0,6,2
grok-03,p028,16,16,0,0,16
grok-03,p029,1,1,0,0,1
